"model","model_title","routing","phase_index","average_load","accepted_rate_avg","avg_packet_latency_avg","xy_fraction_avg","racke_fraction_avg"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","14","0.75","0.4498274","15.72954","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","15","0.8","0.4746414","15.94608","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","16","0.8","0.4963584","16.12292","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","racke_tree","17","0.8","0.5151924","16.25968","0","1"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","0","0.05","0.04945926","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","1","0.1","0.0743","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","2","0.15","0.1495184","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","3","0.2","0.174626","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","4","0.25","0.1996248","11","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","5","0.3","0.2248002","11.2264","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","6","0.35","0.2495988","11.56132","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","7","0.4","0.2748038","11.91132","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","8","0.45","0.2998784","12.23936","1","0"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","9","0.5","0.3236216","21.93814","0.704329","0.295671"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","10","0.55","0.3464544","37.5827","0.5449916","0.4550084"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","11","0.6","0.3703868","59.74912","0.5807368","0.4192632"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","12","0.65","0.3942954","83.99738","0.507645","0.492355"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","13","0.7","0.4180728","109.75996","0.4568808","0.5431192"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","14","0.75","0.441964","136.8578","0.4268024","0.5731976"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","15","0.8","0.4653316","170.0146","0.2527544","0.7472456"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","16","0.8","0.483621","212.1458","0.13347198","0.86652802"
"ordered_fill","Ordered Fill on Fixed Permutation Matrix","hybrid_xy_racke","17","0.8","0.50205","261.6484","0.08759544","0.91240456"
