"model","routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","xy_fraction","racke_fraction"
"ordered_fill","dim_order","2201","4","0.25","0.201074","8.74341","1","0"
"ordered_fill","dim_order","2201","5","0.3","0.226519","8.82874","1","0"
"ordered_fill","dim_order","2201","6","0.35","0.251133","9.03888","1","0"
"ordered_fill","dim_order","2201","7","0.4","0.276105","9.39707","1","0"
"ordered_fill","dim_order","2201","8","0.45","0.300561","13.141","1","0"
"ordered_fill","dim_order","2201","9","0.5","0.322903","27.0776","1","0"
"ordered_fill","dim_order","2201","10","0.55","0.34335","63.7278","1","0"
"ordered_fill","dim_order","2201","11","0.6","0.364526","118.885","1","0"
"ordered_fill","dim_order","2201","12","0.6","0.381875","185.134","1","0"
"ordered_fill","dim_order","2201","13","0.6","0.396167","258.869","1","0"
"ordered_fill","dim_order","2201","14","0.6","0.408701","338.587","1","0"
"ordered_fill","dim_order","2201","15","0.6","0.419151","422.104","1","0"
"ordered_fill","dim_order","2202","0","0.05","0.0496667","8","1","0"
"ordered_fill","dim_order","2202","1","0.1","0.0752037","8","1","0"
"ordered_fill","dim_order","2202","2","0.15","0.149037","8.34337","1","0"
"ordered_fill","dim_order","2202","3","0.2","0.175315","8.7194","1","0"
"ordered_fill","dim_order","2202","4","0.25","0.200864","8.75401","1","0"
"ordered_fill","dim_order","2202","5","0.3","0.225528","8.83648","1","0"
"ordered_fill","dim_order","2202","6","0.35","0.24997","9.03717","1","0"
"ordered_fill","dim_order","2202","7","0.4","0.274796","9.3863","1","0"
"ordered_fill","dim_order","2202","8","0.45","0.299095","13.9676","1","0"
"ordered_fill","dim_order","2202","9","0.5","0.321028","28.5707","1","0"
"ordered_fill","dim_order","2202","10","0.55","0.341465","66.3582","1","0"
"ordered_fill","dim_order","2202","11","0.6","0.362789","124.131","1","0"
"ordered_fill","dim_order","2202","12","0.6","0.380468","191.191","1","0"
"ordered_fill","dim_order","2202","13","0.6","0.394935","266.806","1","0"
"ordered_fill","dim_order","2202","14","0.6","0.407302","346.83","1","0"
"ordered_fill","dim_order","2202","15","0.6","0.417772","430.497","1","0"
"ordered_fill","dim_order","2203","0","0.05","0.0477407","8","1","0"
"ordered_fill","dim_order","2203","1","0.1","0.0737963","8","1","0"
"ordered_fill","dim_order","2203","2","0.15","0.148926","8.32677","1","0"
"ordered_fill","dim_order","2203","3","0.2","0.175556","8.71555","1","0"
"ordered_fill","dim_order","2203","4","0.25","0.2","8.74949","1","0"
"ordered_fill","dim_order","2203","5","0.3","0.225269","8.8287","1","0"
"ordered_fill","dim_order","2203","6","0.35","0.250459","9.0326","1","0"
"ordered_fill","dim_order","2203","7","0.4","0.275148","9.38304","1","0"
"ordered_fill","dim_order","2203","8","0.45","0.299788","13.2561","1","0"
"ordered_fill","dim_order","2203","9","0.5","0.321648","27.8256","1","0"
"ordered_fill","dim_order","2203","10","0.55","0.341922","65.4482","1","0"
"ordered_fill","dim_order","2203","11","0.6","0.363326","122.603","1","0"
"ordered_fill","dim_order","2203","12","0.6","0.380953","192.007","1","0"
"ordered_fill","dim_order","2203","13","0.6","0.395713","269.411","1","0"
"ordered_fill","dim_order","2203","14","0.6","0.408256","352.033","1","0"
"ordered_fill","dim_order","2203","15","0.6","0.418677","437.873","1","0"
"ordered_fill","racke_tree","2201","0","0.05","0.05","10.1393","0","1"
"ordered_fill","racke_tree","2201","1","0.1","0.0735","10.4004","0","1"
"ordered_fill","racke_tree","2201","2","0.15","0.149778","11.1476","0","1"
"ordered_fill","racke_tree","2201","3","0.2","0.175185","11.6794","0","1"
"ordered_fill","racke_tree","2201","4","0.25","0.201","11.8155","0","1"
"ordered_fill","racke_tree","2201","5","0.3","0.226454","11.9306","0","1"
"ordered_fill","racke_tree","2201","6","0.35","0.251074","12.101","0","1"
"ordered_fill","racke_tree","2201","7","0.4","0.276056","12.3736","0","1"
"ordered_fill","racke_tree","2201","8","0.45","0.301132","12.5882","0","1"
"ordered_fill","racke_tree","2201","9","0.5","0.326551","12.8002","0","1"
"ordered_fill","racke_tree","2201","10","0.55","0.351165","12.9927","0","1"
"ordered_fill","racke_tree","2201","11","0.6","0.375819","13.1442","0","1"
"ordered_fill","racke_tree","2201","12","0.6","0.396138","13.254","0","1"
"ordered_fill","racke_tree","2201","13","0.6","0.41304","13.3402","0","1"
"ordered_fill","racke_tree","2201","14","0.6","0.427604","13.4051","0","1"
"ordered_fill","racke_tree","2201","15","0.6","0.43959","13.4567","0","1"
"ordered_fill","racke_tree","2202","0","0.05","0.0495926","10.1524","0","1"
"ordered_fill","racke_tree","2202","1","0.1","0.0751667","10.4353","0","1"
"ordered_fill","racke_tree","2202","2","0.15","0.149037","11.1633","0","1"
"ordered_fill","racke_tree","2202","3","0.2","0.175222","11.6826","0","1"
"ordered_fill","racke_tree","2202","4","0.25","0.200827","11.819","0","1"
"ordered_fill","racke_tree","2202","5","0.3","0.225481","11.9278","0","1"
"ordered_fill","racke_tree","2202","6","0.35","0.249911","12.093","0","1"
"ordered_fill","racke_tree","2202","7","0.4","0.274722","12.3638","0","1"
"ordered_fill","racke_tree","2202","8","0.45","0.299889","12.5831","0","1"
"ordered_fill","racke_tree","2202","9","0.5","0.32444","12.7835","0","1"
"ordered_fill","racke_tree","2202","10","0.55","0.349695","12.9754","0","1"
"ordered_fill","racke_tree","2202","11","0.6","0.374663","13.1323","0","1"
"ordered_fill","racke_tree","2202","12","0.6","0.395189","13.2476","0","1"
"ordered_fill","racke_tree","2202","13","0.6","0.412173","13.3345","0","1"
"ordered_fill","racke_tree","2202","14","0.6","0.426387","13.3994","0","1"
"ordered_fill","racke_tree","2202","15","0.6","0.438995","13.4564","0","1"
"ordered_fill","racke_tree","2203","0","0.05","0.0477037","10.1343","0","1"
"ordered_fill","racke_tree","2203","1","0.1","0.0737407","10.4214","0","1"
"ordered_fill","racke_tree","2203","2","0.15","0.148815","11.1508","0","1"
"ordered_fill","racke_tree","2203","3","0.2","0.175537","11.6963","0","1"
"ordered_fill","racke_tree","2203","4","0.25","0.199951","11.8206","0","1"
"ordered_fill","racke_tree","2203","5","0.3","0.225231","11.9298","0","1"
"ordered_fill","racke_tree","2203","6","0.35","0.250422","12.095","0","1"
"ordered_fill","racke_tree","2203","7","0.4","0.275117","12.3635","0","1"
"ordered_fill","racke_tree","2203","8","0.45","0.30036","12.58","0","1"
"ordered_fill","racke_tree","2203","9","0.5","0.325394","12.7814","0","1"
"ordered_fill","racke_tree","2203","10","0.55","0.350128","12.9767","0","1"
"ordered_fill","racke_tree","2203","11","0.6","0.375356","13.1339","0","1"
"ordered_fill","racke_tree","2203","12","0.6","0.39629","13.2511","0","1"
"ordered_fill","racke_tree","2203","13","0.6","0.413383","13.3385","0","1"
"ordered_fill","racke_tree","2203","14","0.6","0.427849","13.405","0","1"
"ordered_fill","racke_tree","2203","15","0.6","0.439992","13.4584","0","1"
"ordered_fill","hybrid_xy_racke","2201","0","0.05","0.050037","8","1","0"
"ordered_fill","hybrid_xy_racke","2201","1","0.1","0.0735185","8","1","0"
"ordered_fill","hybrid_xy_racke","2201","2","0.15","0.149889","8.32649","1","0"
"ordered_fill","hybrid_xy_racke","2201","3","0.2","0.175259","8.70433","1","0"
"ordered_fill","hybrid_xy_racke","2201","4","0.25","0.201074","8.74341","1","0"
"ordered_fill","hybrid_xy_racke","2201","5","0.3","0.226519","8.82874","1","0"
"ordered_fill","hybrid_xy_racke","2201","6","0.35","0.251133","9.03888","1","0"
"ordered_fill","hybrid_xy_racke","2201","7","0.4","0.276105","9.39707","1","0"
"ordered_fill","hybrid_xy_racke","2201","8","0.45","0.30055","11.9477","0.98296","0.0170400000000001"
"ordered_fill","hybrid_xy_racke","2201","9","0.5","0.325704","14.9105","0.786377","0.213623"
"ordered_fill","hybrid_xy_racke","2201","10","0.55","0.350284","19.7449","0.727033","0.272967"
"ordered_fill","hybrid_xy_racke","2201","11","0.6","0.375052","23.1432","0.734876","0.265124"
"ordered_fill","hybrid_xy_racke","2201","12","0.6","0.395313","25.4115","0.744685","0.255315"
"ordered_fill","hybrid_xy_racke","2201","13","0.6","0.412006","26.9412","0.749424","0.250576"
"ordered_fill","hybrid_xy_racke","2201","14","0.6","0.426274","28.4352","0.726132","0.273868"
"ordered_fill","hybrid_xy_racke","2201","15","0.6","0.438556","29.4648","0.754611","0.245389"
"ordered_fill","hybrid_xy_racke","2202","0","0.05","0.0496667","8","1","0"
"ordered_fill","hybrid_xy_racke","2202","1","0.1","0.0752037","8","1","0"
"ordered_fill","hybrid_xy_racke","2202","2","0.15","0.149037","8.34337","1","0"
"ordered_fill","hybrid_xy_racke","2202","3","0.2","0.175315","8.7194","1","0"
"ordered_fill","hybrid_xy_racke","2202","4","0.25","0.200864","8.75401","1","0"
"ordered_fill","hybrid_xy_racke","2202","5","0.3","0.225528","8.83648","1","0"
"ordered_fill","hybrid_xy_racke","2202","6","0.35","0.24997","9.03717","1","0"
"ordered_fill","hybrid_xy_racke","2202","7","0.4","0.274796","9.3863","1","0"
"ordered_fill","hybrid_xy_racke","2202","8","0.45","0.299556","12.775","0.944641","0.055359"
"ordered_fill","hybrid_xy_racke","2202","9","0.5","0.324787","16.1968","0.788279","0.211721"
"ordered_fill","hybrid_xy_racke","2202","10","0.55","0.349823","20.8403","0.725598","0.274402"
"ordered_fill","hybrid_xy_racke","2202","11","0.6","0.374881","24.2252","0.748503","0.251497"
