"routing","seed","phase_index","average_load","accepted_rate","avg_packet_latency","dr_fraction","dsl_fraction"
"dfm_hybrid_dr_dsl","2203","11","0.6","0.375594","16.9583","0","1"
"dfm_hybrid_dr_dsl","2203","12","0.65","0.400599","17.1281","0","1"
"dfm_hybrid_dr_dsl","2203","13","0.7","0.425378","17.3022","0","1"
"dfm_hybrid_dr_dsl","2203","14","0.75","0.450366","17.4842","0","1"
"dfm_hybrid_dr_dsl","2203","15","0.8","0.475332","17.6712","0","1"
"dfm_hybrid_dr_dsl","2203","16","0.8","0.49697","17.8165","0","1"
"dfm_hybrid_dr_dsl","2203","17","0.8","0.515902","17.9314","0","1"
"dfm_hybrid_dr_dsl","2204","0","0.05","0.0501574","10.2003","1","0"
"dfm_hybrid_dr_dsl","2204","1","0.1","0.0745509","10.4662","0.9538994","0.0461006"
"dfm_hybrid_dr_dsl","2204","2","0.15","0.150722","12.5005","0.55354","0.44646"
"dfm_hybrid_dr_dsl","2204","3","0.2","0.175486","14.4851","0.052719","0.947281"
"dfm_hybrid_dr_dsl","2204","4","0.25","0.199827","15.3414","0","1"
"dfm_hybrid_dr_dsl","2204","5","0.3","0.225213","15.8111","0","1"
"dfm_hybrid_dr_dsl","2204","6","0.35","0.249791","16.1171","0","1"
"dfm_hybrid_dr_dsl","2204","7","0.4","0.274858","16.3489","0","1"
"dfm_hybrid_dr_dsl","2204","8","0.45","0.300063","16.5372","0","1"
"dfm_hybrid_dr_dsl","2204","9","0.5","0.325154","16.706","0","1"
"dfm_hybrid_dr_dsl","2204","10","0.55","0.350462","16.8663","0","1"
"dfm_hybrid_dr_dsl","2204","11","0.6","0.375309","17.0164","0","1"
"dfm_hybrid_dr_dsl","2204","12","0.65","0.400291","17.1748","0","1"
"dfm_hybrid_dr_dsl","2204","13","0.7","0.425306","17.3469","0","1"
"dfm_hybrid_dr_dsl","2204","14","0.75","0.450188","17.5211","0","1"
"dfm_hybrid_dr_dsl","2204","15","0.8","0.475138","17.7029","0","1"
"dfm_hybrid_dr_dsl","2204","16","0.8","0.496767","17.8446","0","1"
"dfm_hybrid_dr_dsl","2204","17","0.8","0.515865","17.9605","0","1"
"dfm_hybrid_dr_dsl","2205","0","0.05","0.0496944","10.183","1","0"
"dfm_hybrid_dr_dsl","2205","1","0.1","0.0748009","10.4639","0.9207097","0.0792903"
"dfm_hybrid_dr_dsl","2205","2","0.15","0.15012","12.2976","0.597129","0.402871"
"dfm_hybrid_dr_dsl","2205","3","0.2","0.175745","14.129","0.117366","0.882634"
"dfm_hybrid_dr_dsl","2205","4","0.25","0.200457","15.1374","0.00114800000000004","0.998852"
"dfm_hybrid_dr_dsl","2205","5","0.3","0.224935","15.6611","0","1"
"dfm_hybrid_dr_dsl","2205","6","0.35","0.249889","16.011","0","1"
"dfm_hybrid_dr_dsl","2205","7","0.4","0.274957","16.2689","0","1"
"dfm_hybrid_dr_dsl","2205","8","0.45","0.299738","16.476","0","1"
"dfm_hybrid_dr_dsl","2205","9","0.5","0.324742","16.6588","0","1"
"dfm_hybrid_dr_dsl","2205","10","0.55","0.349688","16.8226","0","1"
"dfm_hybrid_dr_dsl","2205","11","0.6","0.374781","16.9867","0","1"
"dfm_hybrid_dr_dsl","2205","12","0.65","0.399899","17.1533","0","1"
"dfm_hybrid_dr_dsl","2205","13","0.7","0.424646","17.3231","0","1"
"dfm_hybrid_dr_dsl","2205","14","0.75","0.449783","17.5059","0","1"
"dfm_hybrid_dr_dsl","2205","15","0.8","0.47493","17.6935","0","1"
"dfm_hybrid_dr_dsl","2205","16","0.8","0.496709","17.8378","0","1"
"dfm_hybrid_dr_dsl","2205","17","0.8","0.515673","17.9531","0","1"
